customer_id,age,monthly_bill,tenure_months,support_calls,usage_hours,contract_type,churn
CUST0001,56,89.5,4,5,15,monthly,1
CUST0002,28,45.0,24,1,38,one_year,0
CUST0003,35,75.5,12,3,25,monthly,1
CUST0004,42,30.0,36,0,45,two_year,0
CUST0005,61,95.0,2,6,10,monthly,1
CUST0006,23,55.0,18,2,30,monthly,0
CUST0007,49,110.0,6,4,18,monthly,1
CUST0008,31,35.0,48,1,50,two_year,0
CUST0009,52,65.0,14,2,28,one_year,0
CUST0010,40,85.0,8,4,20,monthly,1
CUST0011,29,50.0,30,1,40,one_year,0
CUST0012,65,105.0,3,7,8,monthly,1
CUST0013,38,40.0,42,0,52,two_year,0
CUST0014,26,70.0,9,3,22,monthly,1
CUST0015,47,60.0,20,2,35,one_year,0
CUST0016,58,92.0,5,5,14,monthly,1
CUST0017,33,48.0,27,1,36,one_year,0
CUST0018,22,80.0,7,4,19,monthly,1
CUST0019,45,32.0,60,0,55,two_year,0
CUST0020,50,78.0,11,3,24,monthly,1
CUST0021,36,52.0,22,1,34,one_year,0
CUST0022,63,98.0,1,6,9,monthly,1
CUST0023,27,38.0,35,0,48,two_year,0
CUST0024,41,88.0,8,4,21,monthly,1
CUST0025,55,58.0,16,2,32,one_year,0
CUST0026,30,82.0,10,3,23,monthly,1
CUST0027,48,42.0,40,1,46,two_year,0
CUST0028,25,62.0,15,2,29,monthly,0
CUST0029,59,102.0,4,5,12,monthly,1
CUST0030,34,46.0,25,1,37,one_year,0
CUST0031,44,76.0,13,3,26,monthly,1
CUST0032,68,90.0,2,6,11,monthly,1
CUST0033,21,34.0,50,0,54,two_year,0
CUST0034,39,84.0,7,4,17,monthly,1
CUST0035,53,64.0,19,2,31,one_year,0
CUST0036,32,54.0,28,1,39,monthly,0
CUST0037,46,28.0,65,0,58,two_year,0
CUST0038,60,96.0,3,5,13,monthly,1
CUST0039,24,44.0,32,1,42,one_year,0
CUST0040,57,86.0,6,4,16,monthly,1
CUST0041,37,68.0,17,2,33,monthly,0
CUST0042,51,108.0,5,7,10,monthly,1
CUST0043,29,36.0,45,0,49,two_year,0
CUST0044,43,72.0,12,3,27,monthly,1
CUST0045,62,56.0,21,1,35,one_year,0
CUST0046,35,94.0,4,5,15,monthly,1
CUST0047,48,30.0,55,0,51,two_year,0
CUST0048,27,80.0,8,4,20,monthly,1
CUST0049,54,66.0,15,2,30,one_year,0
CUST0050,31,48.0,26,1,38,monthly,0
CUST0051,66,100.0,2,6,8,monthly,1
CUST0052,40,38.0,38,0,47,two_year,0
CUST0053,23,74.0,10,3,25,monthly,1
CUST0054,58,60.0,23,1,36,one_year,0
CUST0055,36,88.0,5,5,16,monthly,1
CUST0056,49,46.0,34,1,41,one_year,0
CUST0057,28,32.0,62,0,56,two_year,0
CUST0058,64,92.0,3,6,12,monthly,1
CUST0059,33,70.0,14,2,28,monthly,0
CUST0060,45,82.0,9,4,22,monthly,1
CUST0061,52,50.0,29,1,40,one_year,0
CUST0062,26,90.0,6,5,18,monthly,1
CUST0063,60,35.0,48,0,50,two_year,0
CUST0064,38,78.0,11,3,24,monthly,1
CUST0065,42,58.0,18,2,32,one_year,0
CUST0066,30,64.0,20,1,35,monthly,0
CUST0067,56,104.0,1,7,7,monthly,1
CUST0068,22,40.0,40,0,48,two_year,0
CUST0069,47,86.0,7,4,19,monthly,1
CUST0070,34,52.0,24,1,37,one_year,0
CUST0071,67,95.0,4,5,14,monthly,1
CUST0072,29,42.0,36,0,45,two_year,0
CUST0073,50,75.0,13,3,26,monthly,1
CUST0074,39,62.0,16,2,33,one_year,0
CUST0075,25,85.0,8,4,21,monthly,1
CUST0076,61,48.0,28,1,39,one_year,0
CUST0077,43,30.0,58,0,53,two_year,0
CUST0078,53,106.0,3,6,11,monthly,1
CUST0079,31,68.0,19,2,30,monthly,0
